ISBN,Title,Author,Price,Stock,Category,Description
9786564333383,"Sample Book Title 33","Author Name 20",30.43,20,1,"This is a comprehensive description for sample book 33."
9788525323068,"Sample Book Title 34","Author Name 15",21.50,26,5,"This is a comprehensive description for sample book 34."
9780757313117,"Sample Book Title 35","Author Name 34",28.70,82,2,"This is a comprehensive description for sample book 35."
9787887291900,"Sample Book Title 36","Author Name 12",46.58,83,5,"This is a comprehensive description for sample book 36."
9786586128026,"Sample Book Title 37","Author Name 19",34.04,6,4,"This is a comprehensive description for sample book 37."
9785734890913,"Sample Book Title 38","Author Name 6",36.29,57,1,"This is a comprehensive description for sample book 38."
9782085297637,"Sample Book Title 39","Author Name 40",25.37,1,1,"This is a comprehensive description for sample book 39."
9787721146568,"Sample Book Title 40","Author Name 17",8.31,92,1,"This is a comprehensive description for sample book 40."
9782372605011,"Sample Book Title 41","Author Name 34",11.68,17,3,"This is a comprehensive description for sample book 41."
9781399751529,"Sample Book Title 42","Author Name 19",9.27,47,2,"This is a comprehensive description for sample book 42."
9784981774623,"Sample Book Title 43","Author Name 24",16.70,8,5,"This is a comprehensive description for sample book 43."
9786794515924,"Sample Book Title 44","Author Name 15",19.63,97,1,"This is a comprehensive description for sample book 44."
9787259271108,"Sample Book Title 45","Author Name 28",12.34,55,4,"This is a comprehensive description for sample book 45."
9783632648708,"Sample Book Title 46","Author Name 6",43.76,23,3,"This is a comprehensive description for sample book 46."
9784550868976,"Sample Book Title 47","Author Name 36",39.33,66,2,"This is a comprehensive description for sample book 47."
9783787156818,"Sample Book Title 48","Author Name 43",39.66,53,1,"This is a comprehensive description for sample book 48."
9788961739394,"Sample Book Title 49","Author Name 15",18.88,36,4,"This is a comprehensive description for sample book 49."
9780359773117,"Sample Book Title 50","Author Name 26",7.68,73,5,"This is a comprehensive description for sample book 50."
9788352708943,"Sample Book Title 51","Author Name 31",18.75,57,5,"This is a comprehensive description for sample book 51."
9786815768415,"Sample Book Title 52","Author Name 48",29.48,45,3,"This is a comprehensive description for sample book 52."
9782313684647,"Sample Book Title 53","Author Name 28",27.52,61,1,"This is a comprehensive description for sample book 53."
9780858274146,"Sample Book Title 54","Author Name 25",11.12,8,3,"This is a comprehensive description for sample book 54."
9783898780069,"Sample Book Title 55","Author Name 50",22.96,32,2,"This is a comprehensive description for sample book 55."
9787825099051,"Sample Book Title 56","Author Name 11",45.49,99,2,"This is a comprehensive description for sample book 56."
9787718435905,"Sample Book Title 57","Author Name 36",26.63,64,3,"This is a comprehensive description for sample book 57."
9788334665243,"Sample Book Title 58","Author Name 1",27.39,82,3,"This is a comprehensive description for sample book 58."
9781400627375,"Sample Book Title 59","Author Name 19",29.69,86,3,"This is a comprehensive description for sample book 59."
9780139550274,"Sample Book Title 60","Author Name 9",42.16,96,5,"This is a comprehensive description for sample book 60."
9781704100320,"Sample Book Title 61","Author Name 25",15.95,59,2,"This is a comprehensive description for sample book 61."
9782558731220,"Sample Book Title 62","Author Name 38",18.23,51,1,"This is a comprehensive description for sample book 62."
9789369750553,"Sample Book Title 63","Author Name 11",22.24,24,5,"This is a comprehensive description for sample book 63."
9784748776920,"Sample Book Title 64","Author Name 29",25.98,100,5,"This is a comprehensive description for sample book 64."
9781632733509,"Sample Book Title 65","Author Name 13",19.11,100,1,"This is a comprehensive description for sample book 65."
9781642420443,"Sample Book Title 66","Author Name 39",15.94,9,1,"This is a comprehensive description for sample book 66."
9787418597250,"Sample Book Title 67","Author Name 3",30.72,77,4,"This is a comprehensive description for sample book 67."
9780015569514,"Sample Book Title 68","Author Name 26",25.54,14,1,"This is a comprehensive description for sample book 68."
9782035543234,"Sample Book Title 69","Author Name 9",12.26,46,2,"This is a comprehensive description for sample book 69."
9781209065853,"Sample Book Title 70","Author Name 20",19.60,70,2,"This is a comprehensive description for sample book 70."
9784124116135,"Sample Book Title 71","Author Name 34",49.37,32,4,"This is a comprehensive description for sample book 71."
9782946178571,"Sample Book Title 72","Author Name 45",39.97,79,4,"This is a comprehensive description for sample book 72."
9781970329531,"Sample Book Title 73","Author Name 42",18.82,9,2,"This is a comprehensive description for sample book 73."
9788262397896,"Sample Book Title 74","Author Name 46",41.10,50,5,"This is a comprehensive description for sample book 74."
9782516912268,"Sample Book Title 75","Author Name 5",38.26,19,2,"This is a comprehensive description for sample book 75."
9781684777735,"Sample Book Title 76","Author Name 36",15.09,52,4,"This is a comprehensive description for sample book 76."
9785203659886,"Sample Book Title 77","Author Name 24",32.36,67,3,"This is a comprehensive description for sample book 77."
9783086071705,"Sample Book Title 78","Author Name 5",49.12,14,2,"This is a comprehensive description for sample book 78."
9788510125855,"Sample Book Title 79","Author Name 35",29.35,3,5,"This is a comprehensive description for sample book 79."
9788481805052,"Sample Book Title 80","Author Name 45",32.37,85,1,"This is a comprehensive description for sample book 80."
9787566397737,"Sample Book Title 81","Author Name 11",35.31,100,1,"This is a comprehensive description for sample book 81."
9784013479709,"Sample Book Title 82","Author Name 26",5.59,19,3,"This is a comprehensive description for sample book 82."
9782358697918,"Sample Book Title 83","Author Name 23",38.85,79,1,"This is a comprehensive description for sample book 83."
9787061659071,"Sample Book Title 84","Author Name 23",17.25,88,2,"This is a comprehensive description for sample book 84."
9788571386638,"Sample Book Title 85","Author Name 48",23.90,42,1,"This is a comprehensive description for sample book 85."
9787101526356,"Sample Book Title 86","Author Name 22",7.47,22,3,"This is a comprehensive description for sample book 86."
9785503458346,"Sample Book Title 87","Author Name 21",39.66,27,1,"This is a comprehensive description for sample book 87."
9788327192559,"Sample Book Title 88","Author Name 36",25.79,74,2,"This is a comprehensive description for sample book 88."
9788346160818,"Sample Book Title 89","Author Name 10",30.75,34,3,"This is a comprehensive description for sample book 89."
9786608403377,"Sample Book Title 90","Author Name 30",42.11,23,5,"This is a comprehensive description for sample book 90."
9783764739895,"Sample Book Title 91","Author Name 8",7.22,25,5,"This is a comprehensive description for sample book 91."
9787642368309,"Sample Book Title 92","Author Name 32",19.89,68,5,"This is a comprehensive description for sample book 92."
9785094681351,"Sample Book Title 93","Author Name 36",22.93,20,4,"This is a comprehensive description for sample book 93."
9783484653402,"Sample Book Title 94","Author Name 11",42.45,54,4,"This is a comprehensive description for sample book 94."
9780817786961,"Sample Book Title 95","Author Name 36",40.36,37,4,"This is a comprehensive description for sample book 95."
9789880309260,"Sample Book Title 96","Author Name 40",6.62,76,5,"This is a comprehensive description for sample book 96."
9785105922349,"Sample Book Title 97","Author Name 48",30.67,83,5,"This is a comprehensive description for sample book 97."
9789001529565,"Sample Book Title 98","Author Name 17",16.04,64,5,"This is a comprehensive description for sample book 98."
9783611568537,"Sample Book Title 99","Author Name 27",41.59,33,4,"This is a comprehensive description for sample book 99."
9780484228826,"Sample Book Title 100","Author Name 18",14.55,10,2,"This is a comprehensive description for sample book 100."
9781183977228,"Sample Book Title 101","Author Name 34",14.72,72,3,"This is a comprehensive description for sample book 101."
9783549292024,"Sample Book Title 102","Author Name 24",31.06,24,5,"This is a comprehensive description for sample book 102."
9780945746661,"Sample Book Title 103","Author Name 31",9.13,61,3,"This is a comprehensive description for sample book 103."
9789726309905,"Sample Book Title 104","Author Name 14",13.19,59,2,"This is a comprehensive description for sample book 104."
9780432336993,"Sample Book Title 105","Author Name 8",36.99,9,5,"This is a comprehensive description for sample book 105."
9781266194977,"Sample Book Title 106","Author Name 27",12.18,27,2,"This is a comprehensive description for sample book 106."
9786808143592,"Sample Book Title 107","Author Name 19",17.21,14,2,"This is a comprehensive description for sample book 107."
9789196507945,"Sample Book Title 108","Author Name 16",35.13,48,4,"This is a comprehensive description for sample book 108."
9781322737749,"Sample Book Title 109","Author Name 28",7.80,96,2,"This is a comprehensive description for sample book 109."
9789550271165,"Sample Book Title 110","Author Name 25",21.61,43,2,"This is a comprehensive description for sample book 110."
9789891391858,"Sample Book Title 111","Author Name 47",35.18,31,2,"This is a comprehensive description for sample book 111."
9784023482579,"Sample Book Title 112","Author Name 19",8.30,96,5,"This is a comprehensive description for sample book 112."
9781579185092,"Sample Book Title 113","Author Name 33",16.43,99,4,"This is a comprehensive description for sample book 113."
9789942939769,"Sample Book Title 114","Author Name 10",15.60,25,3,"This is a comprehensive description for sample book 114."
9789980744967,"Sample Book Title 115","Author Name 23",25.41,0,4,"This is a comprehensive description for sample book 115."
9785809861930,"Sample Book Title 116","Author Name 14",32.57,11,1,"This is a comprehensive description for sample book 116."
9783581119909,"Sample Book Title 117","Author Name 18",33.39,66,4,"This is a comprehensive description for sample book 117."
9788695186169,"Sample Book Title 118","Author Name 39",44.56,89,5,"This is a comprehensive description for sample book 118."
9787550496094,"Sample Book Title 119","Author Name 22",36.38,93,4,"This is a comprehensive description for sample book 119."
9782525437145,"Sample Book Title 120","Author Name 10",8.89,7,1,"This is a comprehensive description for sample book 120."
9782177696262,"Sample Book Title 121","Author Name 20",46.57,12,3,"This is a comprehensive description for sample book 121."
9787370856876,"Sample Book Title 122","Author Name 26",18.59,64,3,"This is a comprehensive description for sample book 122."
9785730199692,"Sample Book Title 123","Author Name 47",41.54,41,2,"This is a comprehensive description for sample book 123."
9787479737334,"Sample Book Title 124","Author Name 41",42.39,26,1,"This is a comprehensive description for sample book 124."
9787932338260,"Sample Book Title 125","Author Name 5",11.42,75,3,"This is a comprehensive description for sample book 125."
9786809564053,"Sample Book Title 126","Author Name 21",10.16,25,2,"This is a comprehensive description for sample book 126."
9780802711773,"Sample Book Title 127","Author Name 18",20.79,53,4,"This is a comprehensive description for sample book 127."
9789305837409,"Sample Book Title 128","Author Name 20",8.77,25,3,"This is a comprehensive description for sample book 128."
9788513129679,"Sample Book Title 129","Author Name 10",37.96,61,5,"This is a comprehensive description for sample book 129."
9780188059331,"Sample Book Title 130","Author Name 22",19.10,51,4,"This is a comprehensive description for sample book 130."
9786571522523,"Sample Book Title 131","Author Name 18",36.83,90,4,"This is a comprehensive description for sample book 131."
9788598326707,"Sample Book Title 132","Author Name 19",24.53,38,1,"This is a comprehensive description for sample book 132."
9780047170623,"Sample Book Title 133","Author Name 14",33.04,18,4,"This is a comprehensive description for sample book 133."
9782198713668,"Sample Book Title 134","Author Name 46",11.84,89,3,"This is a comprehensive description for sample book 134."
9782959657430,"Sample Book Title 135","Author Name 46",46.95,37,3,"This is a comprehensive description for sample book 135."
9787083423968,"Sample Book Title 136","Author Name 15",6.62,7,5,"This is a comprehensive description for sample book 136."
9780174227114,"Sample Book Title 137","Author Name 39",30.37,70,3,"This is a comprehensive description for sample book 137."
9783831231264,"Sample Book Title 138","Author Name 27",19.94,3,1,"This is a comprehensive description for sample book 138."
9786918839205,"Sample Book Title 139","Author Name 48",40.58,16,3,"This is a comprehensive description for sample book 139."
9785463007859,"Sample Book Title 140","Author Name 34",26.45,7,5,"This is a comprehensive description for sample book 140."
9783565058641,"Sample Book Title 141","Author Name 19",8.74,99,3,"This is a comprehensive description for sample book 141."
9786887039959,"Sample Book Title 142","Author Name 36",14.97,1,2,"This is a comprehensive description for sample book 142."
9783200342556,"Sample Book Title 143","Author Name 42",5.96,94,3,"This is a comprehensive description for sample book 143."
9788171785155,"Sample Book Title 144","Author Name 31",38.25,93,5,"This is a comprehensive description for sample book 144."
9787973811659,"Sample Book Title 145","Author Name 32",11.54,64,1,"This is a comprehensive description for sample book 145."
9788534409102,"Sample Book Title 146","Author Name 9",20.57,42,5,"This is a comprehensive description for sample book 146."
9780536272345,"Sample Book Title 147","Author Name 39",34.34,61,5,"This is a comprehensive description for sample book 147."
9789318515737,"Sample Book Title 148","Author Name 4",39.15,11,3,"This is a comprehensive description for sample book 148."
9781286670144,"Sample Book Title 149","Author Name 44",27.05,69,5,"This is a comprehensive description for sample book 149."
9780371664860,"Sample Book Title 150","Author Name 50",37.54,53,1,"This is a comprehensive description for sample book 150."
9782453519485,"Sample Book Title 151","Author Name 8",14.34,3,4,"This is a comprehensive description for sample book 151."
9783179804720,"Sample Book Title 152","Author Name 32",27.90,38,3,"This is a comprehensive description for sample book 152."
9785425374960,"Sample Book Title 153","Author Name 10",26.94,79,1,"This is a comprehensive description for sample book 153."
9784127531874,"Sample Book Title 154","Author Name 3",8.50,5,2,"This is a comprehensive description for sample book 154."
9787222793523,"Sample Book Title 155","Author Name 23",33.16,69,4,"This is a comprehensive description for sample book 155."
9789481310419,"Sample Book Title 156","Author Name 24",28.13,45,2,"This is a comprehensive description for sample book 156."
9787465652330,"Sample Book Title 157","Author Name 31",46.96,14,5,"This is a comprehensive description for sample book 157."
9788326959599,"Sample Book Title 158","Author Name 14",39.78,71,1,"This is a comprehensive description for sample book 158."
9782281941454,"Sample Book Title 159","Author Name 38",12.70,30,5,"This is a comprehensive description for sample book 159."
9781836120773,"Sample Book Title 160","Author Name 20",19.87,60,2,"This is a comprehensive description for sample book 160."
9788066484038,"Sample Book Title 161","Author Name 2",28.99,35,1,"This is a comprehensive description for sample book 161."
9785522249348,"Sample Book Title 162","Author Name 42",23.61,46,1,"This is a comprehensive description for sample book 162."
9783468015813,"Sample Book Title 163","Author Name 20",9.90,93,5,"This is a comprehensive description for sample book 163."
9789826022326,"Sample Book Title 164","Author Name 24",16.97,97,5,"This is a comprehensive description for sample book 164."
9780140827468,"Sample Book Title 165","Author Name 25",19.71,8,5,"This is a comprehensive description for sample book 165."
9785287739930,"Sample Book Title 166","Author Name 9",32.74,99,3,"This is a comprehensive description for sample book 166."
9780901129148,"Sample Book Title 167","Author Name 49",41.28,67,2,"This is a comprehensive description for sample book 167."
9789434678634,"Sample Book Title 168","Author Name 46",39.84,6,2,"This is a comprehensive description for sample book 168."
9780786349204,"Sample Book Title 169","Author Name 1",25.01,57,3,"This is a comprehensive description for sample book 169."
9784953269198,"Sample Book Title 170","Author Name 4",12.21,10,1,"This is a comprehensive description for sample book 170."
9785975496468,"Sample Book Title 171","Author Name 9",36.96,65,1,"This is a comprehensive description for sample book 171."
9787891257089,"Sample Book Title 172","Author Name 1",35.63,43,2,"This is a comprehensive description for sample book 172."
9786870349065,"Sample Book Title 173","Author Name 10",31.66,97,3,"This is a comprehensive description for sample book 173."
9780509421477,"Sample Book Title 174","Author Name 21",6.06,26,1,"This is a comprehensive description for sample book 174."
9788148110238,"Sample Book Title 175","Author Name 34",27.62,45,1,"This is a comprehensive description for sample book 175."
9784716566630,"Sample Book Title 176","Author Name 16",19.16,35,3,"This is a comprehensive description for sample book 176."
9781077725725,"Sample Book Title 177","Author Name 12",45.58,15,4,"This is a comprehensive description for sample book 177."
9785512344376,"Sample Book Title 178","Author Name 7",6.03,0,2,"This is a comprehensive description for sample book 178."
9784050033941,"Sample Book Title 179","Author Name 35",5.52,16,4,"This is a comprehensive description for sample book 179."
9780400288724,"Sample Book Title 180","Author Name 20",49.15,21,3,"This is a comprehensive description for sample book 180."
9784543581718,"Sample Book Title 181","Author Name 26",39.47,57,4,"This is a comprehensive description for sample book 181."
9782644009620,"Sample Book Title 182","Author Name 17",40.58,35,1,"This is a comprehensive description for sample book 182."
9785909806183,"Sample Book Title 183","Author Name 24",29.16,38,3,"This is a comprehensive description for sample book 183."
9782364630992,"Sample Book Title 184","Author Name 50",31.37,83,4,"This is a comprehensive description for sample book 184."
9787924771016,"Sample Book Title 185","Author Name 46",11.60,93,1,"This is a comprehensive description for sample book 185."
9784085348294,"Sample Book Title 186","Author Name 3",20.86,40,1,"This is a comprehensive description for sample book 186."
9789633975477,"Sample Book Title 187","Author Name 41",24.49,38,1,"This is a comprehensive description for sample book 187."
9783304255023,"Sample Book Title 188","Author Name 13",32.34,86,3,"This is a comprehensive description for sample book 188."
9786366284078,"Sample Book Title 189","Author Name 3",12.85,45,5,"This is a comprehensive description for sample book 189."
9784557452324,"Sample Book Title 190","Author Name 39",29.05,26,3,"This is a comprehensive description for sample book 190."
9786589291493,"Sample Book Title 191","Author Name 3",39.69,39,1,"This is a comprehensive description for sample book 191."
9784657201764,"Sample Book Title 192","Author Name 37",24.25,85,3,"This is a comprehensive description for sample book 192."
9782646834341,"Sample Book Title 193","Author Name 6",9.56,34,5,"This is a comprehensive description for sample book 193."
9780139342828,"Sample Book Title 194","Author Name 17",40.68,58,1,"This is a comprehensive description for sample book 194."
9785501565810,"Sample Book Title 195","Author Name 33",35.92,81,5,"This is a comprehensive description for sample book 195."
9781959938871,"Sample Book Title 196","Author Name 31",34.02,77,2,"This is a comprehensive description for sample book 196."
9782369265332,"Sample Book Title 197","Author Name 20",38.53,38,3,"This is a comprehensive description for sample book 197."
9784653980227,"Sample Book Title 198","Author Name 43",29.63,21,2,"This is a comprehensive description for sample book 198."
9785647798159,"Sample Book Title 199","Author Name 32",32.25,63,5,"This is a comprehensive description for sample book 199."
9787184177876,"Sample Book Title 200","Author Name 13",37.67,13,2,"This is a comprehensive description for sample book 200."
9785205875504,"Sample Book Title 201","Author Name 42",39.56,6,5,"This is a comprehensive description for sample book 201."
9784909434791,"Sample Book Title 202","Author Name 5",21.83,26,4,"This is a comprehensive description for sample book 202."
9784695882173,"Sample Book Title 203","Author Name 27",21.27,59,5,"This is a comprehensive description for sample book 203."
9782760675616,"Sample Book Title 204","Author Name 28",11.08,37,5,"This is a comprehensive description for sample book 204."
9785812684745,"Sample Book Title 205","Author Name 45",23.48,36,3,"This is a comprehensive description for sample book 205."
9785459896220,"Sample Book Title 206","Author Name 8",31.22,88,1,"This is a comprehensive description for sample book 206."
9780043457617,"Sample Book Title 207","Author Name 27",24.13,35,5,"This is a comprehensive description for sample book 207."
9781786626347,"Sample Book Title 208","Author Name 21",27.89,79,1,"This is a comprehensive description for sample book 208."
9787302616857,"Sample Book Title 209","Author Name 16",14.05,79,4,"This is a comprehensive description for sample book 209."
9786974697332,"Sample Book Title 210","Author Name 43",33.68,96,1,"This is a comprehensive description for sample book 210."
9782385771047,"Sample Book Title 211","Author Name 34",46.37,26,1,"This is a comprehensive description for sample book 211."
9782275321363,"Sample Book Title 212","Author Name 41",26.90,43,5,"This is a comprehensive description for sample book 212."
9785336796747,"Sample Book Title 213","Author Name 21",10.99,97,2,"This is a comprehensive description for sample book 213."
9781055762106,"Sample Book Title 214","Author Name 44",44.93,82,2,"This is a comprehensive description for sample book 214."
9788244882663,"Sample Book Title 215","Author Name 30",28.59,48,2,"This is a comprehensive description for sample book 215."
9788349121440,"Sample Book Title 216","Author Name 42",44.22,74,1,"This is a comprehensive description for sample book 216."
9780141333654,"Sample Book Title 217","Author Name 15",49.33,100,5,"This is a comprehensive description for sample book 217."
9781629923126,"Sample Book Title 218","Author Name 8",34.60,51,4,"This is a comprehensive description for sample book 218."
9785090489864,"Sample Book Title 219","Author Name 12",19.61,54,4,"This is a comprehensive description for sample book 219."
9787992773819,"Sample Book Title 220","Author Name 28",26.66,91,3,"This is a comprehensive description for sample book 220."
9786920885842,"Sample Book Title 221","Author Name 5",35.94,90,2,"This is a comprehensive description for sample book 221."
9786371707614,"Sample Book Title 222","Author Name 2",5.44,96,5,"This is a comprehensive description for sample book 222."
9789694828821,"Sample Book Title 223","Author Name 43",31.08,73,3,"This is a comprehensive description for sample book 223."
9787668972215,"Sample Book Title 224","Author Name 11",15.51,87,5,"This is a comprehensive description for sample book 224."
9784295907502,"Sample Book Title 225","Author Name 29",29.11,69,3,"This is a comprehensive description for sample book 225."
9789295693788,"Sample Book Title 226","Author Name 23",29.07,85,1,"This is a comprehensive description for sample book 226."
9786295845275,"Sample Book Title 227","Author Name 21",16.03,91,3,"This is a comprehensive description for sample book 227."
9783683357841,"Sample Book Title 228","Author Name 26",32.61,50,3,"This is a comprehensive description for sample book 228."
9787538848996,"Sample Book Title 229","Author Name 7",24.24,6,3,"This is a comprehensive description for sample book 229."
9783409580650,"Sample Book Title 230","Author Name 38",24.62,32,3,"This is a comprehensive description for sample book 230."
9784412876478,"Sample Book Title 231","Author Name 34",40.77,13,2,"This is a comprehensive description for sample book 231."
9780325595760,"Sample Book Title 232","Author Name 25",40.31,48,3,"This is a comprehensive description for sample book 232."
9781217728145,"Sample Book Title 233","Author Name 14",23.67,65,3,"This is a comprehensive description for sample book 233."
9785817566917,"Sample Book Title 234","Author Name 41",38.66,32,3,"This is a comprehensive description for sample book 234."
9788077780970,"Sample Book Title 235","Author Name 26",11.06,15,4,"This is a comprehensive description for sample book 235."
9784009943200,"Sample Book Title 236","Author Name 16",38.83,29,5,"This is a comprehensive description for sample book 236."
9787774817443,"Sample Book Title 237","Author Name 36",20.17,93,5,"This is a comprehensive description for sample book 237."
9783254274785,"Sample Book Title 238","Author Name 14",34.74,85,5,"This is a comprehensive description for sample book 238."
9781070588492,"Sample Book Title 239","Author Name 49",11.85,49,3,"This is a comprehensive description for sample book 239."
9780523478801,"Sample Book Title 240","Author Name 32",18.62,21,1,"This is a comprehensive description for sample book 240."
9786568145515,"Sample Book Title 241","Author Name 42",33.62,19,4,"This is a comprehensive description for sample book 241."
9788178678214,"Sample Book Title 242","Author Name 45",29.71,75,4,"This is a comprehensive description for sample book 242."
9781964175393,"Sample Book Title 243","Author Name 48",37.66,41,1,"This is a comprehensive description for sample book 243."
9785979512192,"Sample Book Title 244","Author Name 34",20.76,85,5,"This is a comprehensive description for sample book 244."
9784751589824,"Sample Book Title 245","Author Name 36",34.79,68,2,"This is a comprehensive description for sample book 245."
9788504320810,"Sample Book Title 246","Author Name 5",17.86,14,2,"This is a comprehensive description for sample book 246."
9782765592029,"Sample Book Title 247","Author Name 20",38.29,16,3,"This is a comprehensive description for sample book 247."
9782967313407,"Sample Book Title 248","Author Name 6",46.04,84,5,"This is a comprehensive description for sample book 248."
9783264152054,"Sample Book Title 249","Author Name 9",18.92,100,5,"This is a comprehensive description for sample book 249."
9786649297105,"Sample Book Title 250","Author Name 11",44.87,64,5,"This is a comprehensive description for sample book 250."
9784312124205,"Sample Book Title 251","Author Name 3",15.86,89,2,"This is a comprehensive description for sample book 251."
9782073885397,"Sample Book Title 252","Author Name 9",39.48,69,3,"This is a comprehensive description for sample book 252."
9784505517183,"Sample Book Title 253","Author Name 28",42.70,3,5,"This is a comprehensive description for sample book 253."
9783965630841,"Sample Book Title 254","Author Name 31",28.26,36,5,"This is a comprehensive description for sample book 254."
9780020754544,"Sample Book Title 255","Author Name 41",42.59,97,2,"This is a comprehensive description for sample book 255."
9787637815730,"Sample Book Title 256","Author Name 20",6.19,90,4,"This is a comprehensive description for sample book 256."
9789327424381,"Sample Book Title 257","Author Name 23",18.48,79,3,"This is a comprehensive description for sample book 257."
9786273461611,"Sample Book Title 258","Author Name 32",5.03,84,4,"This is a comprehensive description for sample book 258."
9780093855667,"Sample Book Title 259","Author Name 38",39.43,16,1,"This is a comprehensive description for sample book 259."
9785857523502,"Sample Book Title 260","Author Name 8",38.17,91,1,"This is a comprehensive description for sample book 260."
9780827249061,"Sample Book Title 261","Author Name 45",20.66,4,1,"This is a comprehensive description for sample book 261."
9789646982802,"Sample Book Title 262","Author Name 35",41.38,20,2,"This is a comprehensive description for sample book 262."
9788127276886,"Sample Book Title 263","Author Name 4",37.26,67,5,"This is a comprehensive description for sample book 263."
9785995665040,"Sample Book Title 264","Author Name 1",45.86,31,2,"This is a comprehensive description for sample book 264."
9787790616141,"Sample Book Title 265","Author Name 35",16.51,43,5,"This is a comprehensive description for sample book 265."
9785427410677,"Sample Book Title 266","Author Name 24",26.04,32,5,"This is a comprehensive description for sample book 266."
9786652314334,"Sample Book Title 267","Author Name 44",7.57,5,5,"This is a comprehensive description for sample book 267."
9782378568008,"Sample Book Title 268","Author Name 14",21.03,20,5,"This is a comprehensive description for sample book 268."
9780058419362,"Sample Book Title 269","Author Name 24",10.14,21,4,"This is a comprehensive description for sample book 269."
9784018418647,"Sample Book Title 270","Author Name 11",27.91,59,1,"This is a comprehensive description for sample book 270."
9783246120141,"Sample Book Title 271","Author Name 33",45.94,37,3,"This is a comprehensive description for sample book 271."
9787490315792,"Sample Book Title 272","Author Name 36",10.63,87,2,"This is a comprehensive description for sample book 272."
9787432190629,"Sample Book Title 273","Author Name 11",12.95,43,2,"This is a comprehensive description for sample book 273."
9783851782631,"Sample Book Title 274","Author Name 33",31.13,28,4,"This is a comprehensive description for sample book 274."
9782712978242,"Sample Book Title 275","Author Name 50",44.80,42,3,"This is a comprehensive description for sample book 275."
9786586949786,"Sample Book Title 276","Author Name 8",46.33,87,1,"This is a comprehensive description for sample book 276."
9782597498252,"Sample Book Title 277","Author Name 31",15.04,82,3,"This is a comprehensive description for sample book 277."
9783692145110,"Sample Book Title 278","Author Name 34",46.69,60,1,"This is a comprehensive description for sample book 278."
9781751353269,"Sample Book Title 279","Author Name 27",10.11,20,3,"This is a comprehensive description for sample book 279."
